Model,Accel,Trials,batchsize,50th_pct,90th_pct,avg_latency(ms),Min,Max,Accuracy,Normalized_Accuracy
mobilenet1.0,onnxruntime_cpu,100,4,73.98605346679688,76.00688934326172,74.41245317459106,73.35805892944336,84.66005325317383,73.28,100.0
mobilenet1.0,onnxruntime_cpu,100,8,148.06771278381348,149.31201934814453,148.38775873184204,147.31788635253906,157.42897987365723,73.28,100.0
mobilenet1.0,onnxruntime_cpu,100,16,301.73492431640625,308.14313888549805,302.264039516449,296.39673233032227,322.25990295410156,73.28,100.0
resnest14,onnxruntime_gpu_pascal,100,1,32.749176025390625,33.003807067871094,44.38722372055054,31.772136688232422,1183.6295127868652,75.75,89.61315509286644
resnest14,onnxruntime_gpu_pascal,100,2,75.04963874816895,75.3777027130127,84.5121693611145,74.79453086853027,1016.7229175567627,75.75,89.61315509286644
resnest14,onnxruntime_gpu_pascal,100,4,102.85782814025879,103.13892364501953,113.743417263031,102.61797904968262,1188.6754035949707,75.75,89.61315509286644
resnest14,onnxruntime_gpu_pascal,100,8,157.7467918395996,158.37383270263672,172.45495796203613,156.99529647827148,1617.3124313354492,75.75,89.61315509286644
resnest14,onnxruntime_gpu_pascal,100,16,245.82576751708984,246.88100814819336,263.7472200393677,244.57049369812012,2021.801233291626,75.75,89.61315509286644
resnest26,onnxruntime_gpu_pascal,100,1,32.61685371398926,32.93895721435547,41.80153846740723,32.4101448059082,938.3194446563721,78.68,93.07938010173903
resnest26,onnxruntime_gpu_pascal,100,2,75.96778869628906,76.1864185333252,84.99008893966675,75.67644119262695,977.0560264587402,78.68,93.07938010173903
resnest26,onnxruntime_gpu_pascal,100,4,103.09696197509766,103.4398078918457,115.64135789871216,102.68855094909668,1354.2332649230957,78.68,93.07938010173903
resnest26,onnxruntime_gpu_pascal,100,8,158.21099281311035,159.2235565185547,172.43216514587402,157.48023986816406,1572.9613304138184,78.68,93.07938010173903
resnest26,onnxruntime_gpu_pascal,100,16,247.03621864318848,247.8177547454834,264.2119312286377,245.94807624816895,1959.8243236541748,78.68,93.07938010173903
